"Data";"Cambio"
2006-09-18;2,1453
2006-09-19;2,1518
2006-09-20;2,169
2006-09-21;2,1969
2006-09-22;2,2177
2006-09-25;2,2188
2006-09-26;2,198
2006-09-27;2,186
2006-09-28;2,1793
2006-09-29;2,1742
2006-10-02;2,1623
2006-10-03;2,1655
2006-10-04;2,1676
2006-10-05;2,1629
2006-10-06;2,1636
2006-10-09;2,1588
2006-10-10;2,1497
2006-10-11;2,1546
2006-10-13;2,1419
2006-10-16;2,1331
2006-10-17;2,1361
2006-10-18;2,1339
2006-10-19;2,1387
2006-10-20;2,1457
2006-10-23;2,1391
2006-10-24;2,1467
2006-10-25;2,151
2006-10-26;2,1363
2006-10-27;2,1378
2006-10-30;2,1456
2006-10-31;2,143
2006-11-01;2,141
2006-11-03;2,142
2006-11-06;2,1378
2006-11-07;2,1353
2006-11-08;2,1464
2006-11-09;2,1412
2006-11-10;2,1489
2006-11-13;2,162
2006-11-14;2,1537
2006-11-16;2,1517
2006-11-17;2,1593
2006-11-20;2,1622
2006-11-21;2,1638
2006-11-22;2,1623
2006-11-23;2,1683
2006-11-24;2,17
2006-11-27;2,18
2006-11-28;2,187
2006-11-29;2,1783
2006-11-30;2,1668
2006-12-01;2,1672
2006-12-04;2,1693
2006-12-05;2,156
2006-12-06;2,1528
2006-12-07;2,1428
2006-12-08;2,1442
2006-12-11;2,1384
2006-12-12;2,1481
2006-12-13;2,1459
2006-12-14;2,146
2006-12-15;2,147
2006-12-18;2,147
2006-12-19;2,1572
2006-12-20;2,156
2006-12-21;2,1593
2006-12-22;2,1518
2006-12-26;2,1437
2006-12-27;2,1497
2006-12-28;2,138
2006-12-29;2,138
2007-01-02;2,1342
2007-01-03;2,1372
2007-01-04;2,1429
2007-01-05;2,1474
2007-01-08;2,1505
2007-01-09;2,1506
2007-01-10;2,1556
2007-01-11;2,1465
2007-01-12;2,1421
2007-01-15;2,1407
2007-01-16;2,1444
2007-01-17;2,135
2007-01-18;2,1329
2007-01-19;2,1307
2007-01-22;2,1327
2007-01-23;2,1368
2007-01-24;2,1286
2007-01-25;2,1281
2007-01-26;2,136
