"Data";"Cambio"
2004-04-30;2,9447
2004-05-03;2,9569
2004-05-04;2,9696
2004-05-05;2,9616
2004-05-06;2,9899
2004-05-07;3,0504
2004-05-10;3,1249
2004-05-11;3,1051
2004-05-12;3,1211
2004-05-13;3,1279
2004-05-14;3,0982
2004-05-17;3,122
2004-05-18;3,1169
2004-05-19;3,1059
2004-05-20;3,1813
2004-05-21;3,2051
2004-05-24;3,1798
2004-05-25;3,1576
2004-05-26;3,157
2004-05-27;3,1524
2004-05-28;3,0961
2004-05-31;3,1291
2004-06-01;3,1567
2004-06-02;3,1302
2004-06-03;3,1443
2004-06-04;3,1335
2004-06-07;3,1119
2004-06-08;3,1155
2004-06-09;3,1166
2004-06-11;3,1402
2004-06-14;3,1651
2004-06-15;3,138
2004-06-16;3,1405
2004-06-17;3,128
2004-06-18;3,1388
2004-06-21;3,1298
2004-06-22;3,1341
2004-06-23;3,1258
2004-06-24;3,103
2004-06-25;3,1096
2004-06-28;3,1247
2004-06-29;3,1183
2004-06-30;3,1075
2004-07-01;3,0747
2004-07-02;3,0502
2004-07-05;3,0316
2004-07-06;3,0418
2004-07-07;3,0367
2004-07-08;3,0475
2004-07-09;3,0429
2004-07-12;3,0371
2004-07-13;3,042
2004-07-14;3,0284
2004-07-15;3,0215
2004-07-16;3,0021
2004-07-19;2,9939
2004-07-20;3,0041
2004-07-21;3,0247
2004-07-22;3,0392
2004-07-23;3,0465
2004-07-26;3,0573
2004-07-27;3,067
2004-07-28;3,0557
2004-07-29;3,0374
2004-07-30;3,0268
2004-08-02;3,0466
2004-08-03;3,055
2004-08-04;3,0579
2004-08-05;3,0637
2004-08-06;3,0489
2004-08-09;3,0396
2004-08-10;3,0285
2004-08-11;3,0392
2004-08-12;3,0307
2004-08-13;3,0235
2004-08-16;3,0146
2004-08-17;2,9989
2004-08-18;2,9922
2004-08-19;2,9793
2004-08-20;2,9742
2004-08-23;2,9687
2004-08-24;2,9576
2004-08-25;2,9512
2004-08-26;2,9541
2004-08-27;2,9571
2004-08-30;2,9488
2004-08-31;2,9338
2004-09-01;2,9298
2004-09-02;2,9361
2004-09-03;2,9289
2004-09-06;2,9142
2004-09-08;2,9014
2004-09-09;2,9028
2004-09-10;2,8988
2004-09-13;2,906
2004-09-14;2,9125
2004-09-15;2,9042
2004-09-16;2,8892
2004-09-17;2,8744
2004-09-20;2,8676
2004-09-21;2,8737
2004-09-22;2,8677
2004-09-23;2,8725
2004-09-24;2,8735
2004-09-27;2,8728
